,State,Year,Public Two-Year In-District Tuition and Fees,Public Four-Year In-State Tuition and Fees
101,Wisconsin,2005-06,"$3,924 ","$7,048 "
102,West Virginia,2005-06,"$2,633 ","$4,849 "
103,Wyoming,2005-06,"$2,217 ","$4,296 "
104,Alaska,2006-07,,"$5,045 "
105,Alabama,2006-07,"$3,351 ","$5,901 "
106,Arkansas,2006-07,"$2,520 ","$6,392 "
107,Arizona,2006-07,"$1,997 ","$5,622 "
108,California,2006-07,$871 ,"$5,472 "
109,Colorado,2006-07,"$2,858 ","$5,740 "
110,Connecticut,2006-07,"$3,214 ","$8,583 "
111,District of Columbia,2006-07,,"$3,861 "
112,Delaware,2006-07,"$3,437 ","$8,905 "
113,Florida,2006-07,"$2,443 ","$3,988 "
114,Georgia,2006-07,"$2,690 ","$4,702 "
115,Hawaii,2006-07,"$2,083 ","$5,085 "
116,Iowa,2006-07,"$3,852 ","$7,097 "
117,Idaho,2006-07,"$2,380 ","$4,999 "
118,Illinois,2006-07,"$2,768 ","$9,693 "
119,Indiana,2006-07,"$3,467 ","$7,885 "
120,Kansas,2006-07,"$2,270 ","$6,271 "
121,Kentucky,2006-07,"$3,933 ","$6,933 "
122,Louisiana,2006-07,"$2,255 ","$4,535 "
123,Massachusetts,2006-07,"$4,305 ","$9,121 "
124,Maryland,2006-07,"$3,755 ","$8,680 "
125,Maine,2006-07,"$3,520 ","$7,958 "
126,Michigan,2006-07,"$2,684 ","$9,230 "
127,Minnesota,2006-07,"$5,129 ","$9,043 "
128,Missouri,2006-07,"$2,876 ","$7,850 "
129,Mississippi,2006-07,"$2,036 ","$5,353 "
130,Montana,2006-07,"$3,094 ","$6,325 "
131,North Carolina,2006-07,"$1,512 ","$4,892 "
132,North Dakota,2006-07,"$3,974 ","$6,630 "
133,Nebraska,2006-07,"$2,421 ","$6,290 "
134,New Hampshire,2006-07,"$6,296 ","$10,979 "
135,New Jersey,2006-07,"$3,835 ","$11,224 "
136,New Mexico,2006-07,"$1,326 ","$4,879 "
137,Nevada,2006-07,"$2,039 ","$4,384 "
138,New York,2006-07,"$4,162 ","$6,064 "
139,Ohio,2006-07,"$4,132 ","$10,157 "
140,Oklahoma,2006-07,"$2,774 ","$5,331 "
141,Oregon,2006-07,"$3,802 ","$6,707 "
142,Pennsylvania,2006-07,"$3,740 ","$10,887 "
143,Puerto Rico,2006-07,,"$1,709 "
144,Rhode Island,2006-07,"$3,231 ","$8,164 "
145,South Carolina,2006-07,"$3,759 ","$9,518 "
146,South Dakota,2006-07,"$4,149 ","$5,977 "
147,Tennessee,2006-07,"$2,995 ","$5,982 "
148,Texas,2006-07,"$1,937 ","$7,199 "
149,Utah,2006-07,"$2,795 ","$4,590 "
150,Virginia,2006-07,"$2,853 ","$7,886 "
151,Vermont,2006-07,"$6,291 ","$11,768 "
152,Washington,2006-07,"$3,293 ","$6,820 "
153,Wisconsin,2006-07,"$3,783 ","$7,268 "
154,West Virginia,2006-07,"$2,655 ","$5,011 "
155,Wyoming,2006-07,"$2,201 ","$4,228 "
156,Alaska,  2007-08 ,,"$5,200 "
157,Alabama,  2007-08 ,"$3,301 ","$6,163 "
158,Arkansas,  2007-08 ,"$2,513 ","$6,580 "
159,Arizona,  2007-08 ,"$1,981 ","$5,828 "
160,California,  2007-08 ,$744 ,"$5,818 "
161,Colorado,  2007-08 ,"$2,890 ","$6,387 "
162,Connecticut,  2007-08 ,"$3,323 ","$8,901 "
163,District of Columbia,  2007-08 ,,"$4,430 "
164,Delaware,  2007-08 ,"$3,521 ","$9,176 "
165,Florida,  2007-08 ,"$2,387 ","$3,979 "
166,Georgia,  2007-08 ,"$2,491 ","$4,913 "
167,Hawaii,  2007-08 ,"$2,287 ","$5,896 "
168,Iowa,  2007-08 ,"$3,914 ","$7,307 "
169,Idaho,  2007-08 ,"$2,458 ","$5,150 "
170,Illinois,  2007-08 ,"$2,867 ","$10,693 "
171,Indiana,  2007-08 ,"$3,529 ","$8,079 "
172,Kansas,  2007-08 ,"$2,266 ","$6,753 "
173,Kentucky,  2007-08 ,"$4,054 ","$7,379 "
174,Louisiana,  2007-08 ,"$2,250 ","$4,501 "
175,Massachusetts,  2007-08 ,"$4,341 ","$9,269 "
176,Maryland,  2007-08 ,"$3,822 ","$8,595 "
177,Maine,  2007-08 ,"$3,667 ","$8,619 "
178,Michigan,  2007-08 ,"$2,737 ","$9,988 "
179,Minnesota,  2007-08 ,"$5,225 ","$9,164 "
180,Missouri,  2007-08 ,"$2,944 ","$8,044 "
181,Mississippi,  2007-08 ,"$2,008 ","$5,590 "
182,Montana,  2007-08 ,"$3,255 ","$6,231 "
183,North Carolina,  2007-08 ,"$1,576 ","$5,060 "
184,North Dakota,  2007-08 ,"$4,060 ","$6,819 "
185,Nebraska,  2007-08 ,"$2,532 ","$6,559 "
186,New Hampshire,  2007-08 ,"$6,592 ","$11,397 "
187,New Jersey,  2007-08 ,"$3,980 ","$11,721 "
188,New Mexico,  2007-08 ,"$1,343 ","$4,992 "
189,Nevada,  2007-08 ,"$2,072 ","$4,640 "
190,New York,  2007-08 ,"$4,168 ","$5,965 "
191,Ohio,  2007-08 ,"$4,131 ","$9,944 "
192,Oklahoma,  2007-08 ,"$2,921 ","$5,868 "
193,Oregon,  2007-08 ,"$3,786 ","$6,988 "
194,Pennsylvania,  2007-08 ,"$3,800 ","$11,507 "
195,Puerto Rico,  2007-08 ,,"$2,099 "
196,Rhode Island,  2007-08 ,"$3,345 ","$8,486 "
197,South Carolina,  2007-08 ,"$3,802 ","$9,837 "
198,South Dakota,  2007-08 ,"$4,226 ","$6,279 "
199,Tennessee,  2007-08 ,"$3,093 ","$6,305 "
200,Texas,  2007-08 ,"$1,938 ","$7,580 "
201,Utah,  2007-08 ,"$2,872 ","$4,770 "
202,Virginia,  2007-08 ,"$3,010 ","$8,236 "
203,Vermont,  2007-08 ,"$6,463 ","$12,322 "
204,Washington,  2007-08 ,"$3,383 ","$7,035 "
205,Wisconsin,  2007-08 ,"$3,843 ","$7,536 "
206,West Virginia,  2007-08 ,"$2,756 ","$5,178 "
207,Wyoming,  2007-08 ,"$2,259 ","$4,177 "
208,Alaska,2008-09,,"$5,206 "
209,Alabama,2008-09,"$3,155 ","$6,641 "
210,Arkansas,2008-09,"$2,555 ","$6,581 "
211,Arizona,2008-09,"$2,026 ","$6,214 "
212,California,2008-09,$706 ,"$6,049 "
213,Colorado,2008-09,"$2,838 ","$6,446 "
214,Connecticut,2008-09,"$3,321 ","$8,945 "
215,District of Columbia,2008-09,,"$4,195 "
216,Delaware,2008-09,"$3,622 ","$9,227 "
217,Florida,2008-09,"$2,551 ","$4,257 "
218,Georgia,2008-09,"$2,341 ","$4,956 "
219,Hawaii,2008-09,"$2,439 ","$6,480 "
220,Iowa,2008-09,"$3,908 ","$7,159 "
221,Idaho,2008-09,"$2,484 ","$5,132 "
222,Illinois,2008-09,"$2,890 ","$11,152 "
223,Indiana,2008-09,"$3,491 ","$8,037 "
224,Kansas,2008-09,"$2,208 ","$6,688 "
225,Kentucky,2008-09,"$4,100 ","$7,577 "
226,Louisiana,2008-09,"$2,167 ","$4,533 "
227,Massachusetts,2008-09,"$4,368 ","$9,169 "
228,Maryland,2008-09,"$3,705 ","$8,226 "
229,Maine,2008-09,"$3,512 ","$8,990 "
230,Michigan,2008-09,"$2,732 ","$10,160 "
231,Minnesota,2008-09,"$5,077 ","$9,256 "
232,Missouri,2008-09,"$2,878 ","$8,044 "
233,Mississippi,2008-09,"$1,970 ","$5,505 "
234,Montana,2008-09,"$3,232 ","$5,938 "
235,North Carolina,2008-09,"$1,502 ","$4,887 "
236,North Dakota,2008-09,"$4,270 ","$6,796 "
237,Nebraska,2008-09,"$2,493 ","$6,628 "
238,New Hampshire,2008-09,"$6,240 ","$11,455 "
239,New Jersey,2008-09,"$3,951 ","$11,961 "
240,New Mexico,2008-09,"$1,275 ","$5,030 "
241,Nevada,2008-09,"$2,138 ","$4,893 "
242,New York,2008-09,"$4,065 ","$5,699 "
243,Ohio,2008-09,"$3,913 ","$9,430 "
244,Oklahoma,2008-09,"$2,997 ","$6,278 "
245,Oregon,2008-09,"$3,712 ","$6,943 "
246,Pennsylvania,2008-09,"$3,722 ","$11,521 "
247,Puerto Rico,2008-09,,"$2,079 "
248,Rhode Island,2008-09,"$3,439 ","$8,599 "
249,South Carolina,2008-09,"$3,724 ","$10,163 "
250,South Dakota,2008-09,"$4,383 ","$6,341 "
251,Tennessee,2008-09,"$3,090 ","$6,328 "
252,Texas,2008-09,"$1,850 ","$7,700 "
253,Utah,2008-09,"$2,843 ","$4,757 "
254,Virginia,2008-09,"$3,183 ","$8,436 "
255,Vermont,2008-09,"$6,488 ","$12,621 "
256,Washington,2008-09,"$3,296 ","$7,159 "
257,Wisconsin,2008-09,"$3,808 ","$7,563 "
258,West Virginia,2008-09,"$2,759 ","$5,238 "
259,Wyoming,2008-09,"$2,246 ","$4,030 "
260,Alaska,2009-10,,"$5,595 "
